Model,Dataset,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Gradient Boosting,Test,0.7756,0.5661,0.4246,0.4852,0.7891
Voting Ensemble,Test,0.7791,0.5595,0.5321,0.5455,0.7873
Random Forest,Test,0.7735,0.5455,0.5447,0.5451,0.7837
Bayesian Ensemble,Test,0.7582,0.5175,0.433,0.4715,0.7412
Logistic Regression,Test,0.7074,0.4405,0.6466,0.5241,0.7334
K-Nearest Neighbors,Test,0.7491,0.4958,0.4106,0.4492,0.7132
Support Vector Classifier,Test,0.722,0.4446,0.4651,0.4546,0.6852
Decision Tree,Test,0.7227,0.4444,0.4525,0.4484,0.632
Gradient Boosting,Validation,0.7888,0.6054,0.4407,0.5101,0.8061
Voting Ensemble,Validation,0.7898,0.5879,0.5272,0.5559,0.7992
Random Forest,Validation,0.7878,0.579,0.5467,0.5624,0.795
Bayesian Ensemble,Validation,0.7672,0.5424,0.4282,0.4786,0.7455
Logistic Regression,Validation,0.7122,0.4462,0.636,0.5244,0.7321
K-Nearest Neighbors,Validation,0.7512,0.5018,0.3849,0.4357,0.721
Support Vector Classifier,Validation,0.737,0.4734,0.484,0.4786,0.6923
Decision Tree,Validation,0.7161,0.4298,0.4226,0.4262,0.6181
